"id","package_item_A","package_item_B","package_item_C","package_project_name","package_technology","package_coordinator","package_country","registration_surveyid","registration_survey_deviceimei","registration_survey_start","registration_survey_end","registration_district","registration_village","registration_qst101","registration_gender","registration_age","registration_whocontrolstheincome","registration_whocontrolstheincome_oth","registration_farm_geo_longitude","registration_farm_geo_latitude","registration_farm_geo_elevation","registration_farm_geo_gps_precision","d9map_surveyid","d9map_survey_deviceimei","d9map_survey_start","d9map_survey_end","d9map_generalappearanc_pos","d9map_generalappearanc_neg","d9map_plantheightabove_pos","d9map_plantheightabove_neg","d9map_suitabilitysoils_pos","d9map_suitabilitysoils_neg","d9map_overallbest9map_pos","d9map_overallbest9map_neg","d9map_xticbestclon9map","d9map_xticbestclon9map_oth","d9map_farm_geo_longitude","d9map_farm_geo_latitude","d9map_farm_geo_elevation","d9map_farm_geo_gps_precision","d6map_surveyid","d6map_survey_deviceimei","d6map_survey_start","d6map_survey_end","d6map_stemappear6map_pos","d6map_stemappear6map_neg","d6map_branchhabit_pos","d6map_branchhabit_neg","d6map_generalappearanc_pos","d6map_generalappearanc_neg","d6map_overperfclon6map","d6map_overallclone6map","d6map_overallclone6map_oth","d6map_photo6map1","d6map_photo6map2","d6map_farm_geo_longitude","d6map_farm_geo_latitude","d6map_farm_geo_elevation","d6map_farm_geo_gps_precision","d3map_surveyid","d3map_survey_deviceimei","d3map_survey_start","d3map_survey_end","d3map_aboutpestresis_pos","d3map_aboutpestresis_neg","d3map_aboutdiseaseres_pos","d3map_aboutdiseaseres_neg","d3map_aboutvigor_pos","d3map_aboutvigor_neg","d3map_overallperfclone","d3map_cloneperformance","d3map_cloneperformance_oth","d3map_farm_geo_longitude","d3map_farm_geo_latitude","d3map_farm_geo_elevation","d3map_farm_geo_gps_precision","d1map_surveyid","d1map_survey_deviceimei","d1map_survey_start","d1map_survey_end","d1map_plantingdate","d1map_fieldslope","d1map_soilquality","d1map_soiltexture","d1map_germination_pos","d1map_germination_neg","d1map_reasongermworst","d1map_reasongermbest","d1map_vigor_pos","d1map_vigor_neg","d1map_reasonvigorbest","d1map_reasonvigorworst","d1map_generalappearanc_pos","d1map_generalappearanc_neg","d1map_reasongappbest","d1map_reasongappworst","d1map_useimpvar","d1map_acessextension","d1map_accessplantmat","d1map_stemreplacement","d1map_farm_geo_longitude","d1map_farm_geo_latitude","d1map_farm_geo_elevation","d1map_farm_geo_gps_precision","X12map_harvest_field_surveyid","X12map_harvest_field_survey_deviceimei","X12map_harvest_field_survey_start","X12map_harvest_field_qst101","X12map_harvest_field_stemquality_pos","X12map_harvest_field_stemquality_neg","X12map_harvest_field_rootshapes_pos","X12map_harvest_field_rootshapes_neg","X12map_harvest_field_rootofsize_pos","X12map_harvest_field_rootofsize_neg","X12map_harvest_field_rootyieldcass_pos","X12map_harvest_field_rootyieldcass_neg","X12map_harvest_field_diseaseresistanc_pos","X12map_harvest_field_diseaseresistanc_neg","X12map_harvest_field_rootcotcolor_pos","X12map_harvest_field_rootcotcolor_neg","X12map_harvest_field_overallrootlike_pos","X12map_harvest_field_overallrootlike_neg","X12map_harvest_field_overalperfharvst_pos","X12map_harvest_field_overalperfharvst_neg","X12map_harvest_field_overallscoreharv","X12map_harvest_field_perf_perfmlocalharvst_1","X12map_harvest_field_perf_perfmlocalharvst_2","X12map_harvest_field_perf_perfmlocalharvst_3","X12map_harvest_field_survey_end","X12map_harvest_field_farm_geo_longitude","X12map_harvest_field_farm_geo_latitude","X12map_harvest_field_farm_geo_elevation","X12map_harvest_field_farm_geo_gps_precision","X12map_flour_based_meal_surveyid","X12map_flour_based_meal_survey_deviceimei","X12map_flour_based_meal_survey_start","X12map_flour_based_meal_qst101","X12map_flour_based_meal_easedrying_pos","X12map_flour_based_meal_easedrying_neg","X12map_flour_based_meal_easemingling_pos","X12map_flour_based_meal_easemingling_neg","X12map_flour_based_meal_stickinesspaste_pos","X12map_flour_based_meal_stickinesspaste_neg","X12map_flour_based_meal_tastecasspaste_pos","X12map_flour_based_meal_tastecasspaste_neg","X12map_flour_based_meal_texturepaste_pos","X12map_flour_based_meal_texturepaste_neg","X12map_flour_based_meal_colorcasspaste_pos","X12map_flour_based_meal_colorcasspaste_neg","X12map_flour_based_meal_overalpastelike_pos","X12map_flour_based_meal_overalpastelike_neg","X12map_flour_based_meal_overalperfoflour_pos","X12map_flour_based_meal_overalperfoflour_neg","X12map_flour_based_meal_scoreperfomflour","X12map_flour_based_meal_perf_overalperflocal_1","X12map_flour_based_meal_perf_overalperflocal_2","X12map_flour_based_meal_perf_overalperflocal_3","X12map_flour_based_meal_choicreplantflou_pos","X12map_flour_based_meal_choicreplantflou_neg","X12map_flour_based_meal_survey_end","X12map_boiledroots_surveyid","X12map_boiledroots_survey_deviceimei","X12map_boiledroots_survey_start","X12map_boiledroots_qst101","X12map_boiledroots_easepeeling_pos","X12map_boiledroots_easepeeling_neg","X12map_boiledroots_cookingtime_pos","X12map_boiledroots_cookingtime_neg","X12map_boiledroots_mealiness_pos","X12map_boiledroots_mealiness_neg","X12map_boiledroots_cookedtaste_pos","X12map_boiledroots_cookedtaste_neg","X12map_boiledroots_softness_pos","X12map_boiledroots_softness_neg","X12map_boiledroots_fibrousness_pos","X12map_boiledroots_fibrousness_neg","X12map_boiledroots_overalboiledroot_pos","X12map_boiledroots_overalboiledroot_neg","X12map_boiledroots_overallperf_pos","X12map_boiledroots_overallperf_neg","X12map_boiledroots_scoreperformboil","X12map_boiledroots_perf_performlocal_1","X12map_boiledroots_perf_performlocal_2","X12map_boiledroots_perf_performlocal_3","X12map_boiledroots_choicreplantboil_pos","X12map_boiledroots_choicreplantboil_neg","X12map_boiledroots_survey_end"
73,"MM16/0707","UG130007","UG120124","NaCRRI02","Nextgen IITA clones","Robert Kawuki","UG","4fe164af-78fb-4b7c-a62f-62efc082aa54",352062080826724,"2019-05-08 18:10:19","2019-05-13 10:57:27","Luwero","Kawuku",73,"Female",45,"Female",NA,32.65454,0.70644,1089.9,4.8,"879d3a49-6027-49c4-9241-db4dc5e3c3e4",357828101997644,"2020-02-08 08:07:16","2020-02-08 08:30:55","C","A","C","A","C","A","C","A","General Appearance; Plant Height; Suitability To Soils",NA,32.6546,0.706525,1087.8,3.3,"db4c23cd-5d10-42cb-a8ac-617c3890bbaa",357828101997644,"2019-11-18 15:15:44","2020-04-23 15:58:15","C","A","C","A","C","A","C","Stem Appearance; Plant Branching Habit; General Appearance",NA,"1587646686874.jpg","1587646691314.jpg",32.65452,0.7065817,1089.4,2.6,"0adfd79c-c473-41c9-9119-9514de0208f3",357828101997644,"2019-09-04 21:57:56","2019-09-04 22:00:22","B","C","B","C","B","C","Option B","Pest Resistance; Disease Resistance; Plant Vigor",NA,32.56417,0.6471067,1167,4.9,"4d8a0673-0144-4b1a-ba2b-2a9de826c929","359667094787655","2019-06-27 16:05:23","2019-07-01 11:49:30","2019-05-07","Average","Good","Clay Loam","B","C","100% germination","Only 14 germinated","C","B","Has shinny leaves with high rate of growth","Plants look sick and stunted","C","B","High vigour","Low vigour",2,1,2,"Above Five Years",32.65453,0.7064461,1089.1,4.5,"d2593fdc-7a1b-4d85-a63d-d92e0485891e","33dacd938494c498","2020-06-10 12:37:53",73,"B","A","B","A","B","A","B","A","B","A","B","A","B","A","B","A",1,"Worst","Better","Better","2020-06-10 12:43:29",32.6545,0.7065012,1088.488,4.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ede01585-5d3e-47e8-b718-130c931fe851","33dacd938494c498","2020-06-10 16:39:40",73,"C","A","B","A","C","A","B","A","C","A","B","A","C","A","B","A",1,"Worst","Better","Better","B","A","2020-06-10 16:47:08"
74,"UG120180","UG120024 ","UG130016 ","NaCRRI02","Nextgen IITA clones","Robert Kawuki","UG","2bfeef64-8178-4597-89b7-826888c2ba3a",352062080826724,"2019-05-08 17:06:14","2019-05-13 10:58:15","Luwero","Kalwe",74,"Female",30,"Joint",NA,32.64613,0.7242983,1118.7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6dbbbf7b-c16b-405f-9ff4-879f9b8dab51",357828101997644,"2019-09-04 13:10:09","2019-09-04 21:48:47","B","A","B","A","B","A","Option B","Plant Vigor; Disease Resistance; Pest Resistance",NA,32.64616,0.7247133,1124,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"UG120198","NAROCASS 1","MM16/1627  ","NaCRRI02","Nextgen IITA clones","Robert Kawuki","UG","f3285e26-5278-42b3-be27-eb1137fcc9f7",352062080826724,"2019-05-08 19:12:32","2019-05-13 10:57:01","Luwero","Kibanyi",75,"Female",28,"Joint",NA,32.635,0.7025217,1100.9,4.5,"9f3e3df4-63cd-484c-b7bf-ff25f7a648be",357828101997644,"2020-02-08 10:31:31","2020-02-10 11:30:24","B","A","B","A","B","A","B","A","General Appearance; Plant Height; Suitability To Soils",NA,32.63502,0.7026017,1117.9,2.4,"4a043f9e-07e9-41f4-a896-cfa52dda90af",357828101997644,"2019-11-18 15:54:14","2020-04-23 15:59:44","A","B","A","B","A","B","B","Stem Appearance; Plant Branching Habit; General Appearance",NA,"1587646778576.jpg","1587646781966.jpg",32.63496,0.70255,1093.5,3.4,"cb605d14-178e-45be-941d-55af7e17eb44",357828101997644,"2019-09-04 22:04:03","2019-09-04 22:05:55","B","C","B","C","B","C","Option B","Pest Resistance; Disease Resistance; Plant Vigor",NA,32.56409,0.6470867,1167.5,4.5,"70d7e7ef-1bfb-4198-a78f-d00ab8387d02","355438910076150","2019-06-27 15:39:33","2019-06-27 15:43:53","2019-05-08","Average","Good","Sandy Loam","B","A","Highest proportion of plants germinated","A lot if missing plants","B","A","Big plants with broad leaves","Slow growing plants","B","A","Uniform establishment","Stunted plants",1,1,2,"Above Five Years",32.63504,0.7026,1143.6,5,"b3bc3836-4fac-41d4-a6d6-5977e3d6d975","359667094787655","2020-06-10 11:04:16",75,"B","C","B","A","B","A","B","A","B","C","A","B","B","A","B","A",1,"Better","Better","Better","2020-06-10 17:49:51",32.635,0.7025245,1108.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b2d4b97e-5ead-49c3-9873-95b15633e997","359667094787655","2020-06-10 13:25:51",75,"B","C","B","A","B","A","B","A","B","A","B","A","B","A","B","A",1,"Better","Better","Worst","B","A","2020-06-10 17:45:38"
76,"MM06/123","UG120024 ","UG120156","NaCRRI02","Nextgen IITA clones","Robert Kawuki","UG","55bc7176-c851-4775-bd47-de2a609738fc",359027091121525,"2019-05-08 18:45:36","2019-05-09 07:35:53","Luweero","Kyanika",76,"Male",43,"Joint",NA,32.6302,0.7090167,1122.3,3.8,"6343c9cf-da4b-4c98-b7d2-8d61e52bb454",357828101997644,"2020-02-08 10:41:29","2020-02-10 11:30:35","C","B","C","B","C","B","C","B","General Appearance; Plant Height; Suitability To Soils",NA,32.63032,0.708825,1142.1,3,"10b1944d-d72e-463b-9ebf-c2eca467c9f0",357828101997644,"2019-11-18 15:39:33","2020-04-23 15:59:00","C","B","C","B","C","B","C","Stem Appearance; Plant Branching Habit; General Appearance",NA,"1587646730537.jpg","1587646733942.jpg",32.63028,0.7088717,1124.9,2.8,"d943d64c-6d65-4d57-88a0-a84f526b4aa5",357828101997644,"2019-09-04 22:08:06","2019-09-04 22:10:47","C","B","C","B","C","B","Option C","Pest Resistance; Disease Resistance; Plant Vigor",NA,32.56407,0.647155,1168.4,4.5,"44226b42-d2b9-466a-83da-b7c25a835596","355438910076150","2019-06-27 15:09:39","2019-06-27 15:25:47","2019-05-08","Flat","Good","Loam","A","B","100% germination","Delayed germination","A","B","Fast growing plants","Stunted plants","A","B","Uniform growth and vigorous plants","Weak plants",1,2,2,"Above Five Years",32.63035,0.7089167,1139,4.9,"03c3d8ce-fcf7-422c-8b39-a554377a2051","359667094787655","2020-06-10 10:21:57",76,"C","A","A","B","A","B","A","B","C","B","C","B","A","B","A","B",2,"Better","Better","Better","2020-06-10 17:46:49",32.6303,0.7088817,1130.8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d386bce7-f2e4-40e3-8535-946a42d7b615","359667094787655","2020-06-10 14:12:50",76,"C","B","B","A","C","A","C","A","B","A","A","B","C","A","C","A",2,"Worst","Better","Better","C","A","2020-06-10 17:51:07"
77,"UG120156","UG130007","UG120193","NaCRRI02","Nextgen IITA clones","Robert Kawuki","UG","ad6d5393-6054-470c-a760-ad6110e4bda3",352062080826724,"2019-05-08 16:41:30","2019-05-13 10:59:49","Luwero","Kalwe",77,"Female",40,"Joint",NA,32.64626,0.724745,1122.6,4.9,"042cdf86-b6a6-4251-9091-604217fd0abd",357828101997644,"2020-02-08 09:25:53","2020-02-10 11:29:38","C","A","C","A","C","A","C","A","General Appearance; Plant Height; Suitability To Soils",NA,32.64638,0.7247767,1132,2.5,"964d56c5-4ea0-4af3-9224-55a0efe961f9",357828101997644,"2019-11-18 12:49:29","2020-02-29 06:53:39","C","A","C","A","C","A","C","Stem Appearance; Plant Branching Habit; General Appearance",NA,"1582948395709.jpg","1582948411528.jpg",32.6464,0.7247233,1119.8,4.2,"2a6ec6a9-0b1d-4e09-a2f4-6e84fc2b9f48",357828101997644,"2019-09-04 22:11:26","2019-09-04 22:13:16","B","C","B","C","B","C","Option B","Plant Vigor; Disease Resistance; Pest Resistance",NA,32.56405,0.6471133,1167.7,4.6,"d715748d-28a0-4907-9b1d-49ba29bd6a8e","359667094787655","2019-06-27 14:20:14","2019-07-01 11:53:47","2019-05-08","Flat","Regular","Loam","B","C","Germinated 100%","Only 12 germinated","A","C","Many shoots with healthy leaves","Plants look stressed","A","B","Germinated fast with high vigour","Germinated poorly with low vigour",1,2,2,"Above Five Years",32.64629,0.7248058,1113.9,5,"c303e6e6-0611-40ac-b394-d274a379d51d","33dacd938494c498","2020-06-10 10:54:23",77,"C","A","A","B","A","C","A","C","C","A","C","A","A","C","A","C",2,"Better","Better","Worst","2020-06-10 11:10:09",32.64636,0.7247658,1122.71,4.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fc89833f-6ebb-4fad-b2b3-f11a02ae44a4","33dacd938494c498","2020-06-10 15:58:38",77,"C","A","C","B","C","B","C","A","C","A","C","B","C","A","C","A",1,"Worst","Worst","Better","C","A","2020-06-10 18:58:43"
78,"MM06/123","UG120198","UG120180","NaCRRI02","Nextgen IITA clones","Robert Kawuki","UG","32bfb402-d477-41b5-838f-fb6703374383",359027091121525,"2019-05-08 16:43:16","2019-05-09 07:38:54","Luweero","Bugabo",78,"Male",58,"Joint",NA,32.63195,0.7164233,1117.3,4.1,"a31b4a99-eeda-4ad5-a765-393de657c222",357828101997644,"2020-02-08 09:46:59","2020-02-10 11:29:54","B","A","B","A","B","A","B","A","General Appearance; Plant Height; Suitability To Soils",NA,32.63202,0.7160633,1120,2.4,"e6cba19c-94d7-4d35-83f1-8f6acc9ab8f7",357828101997644,"2019-11-18 13:41:36","2020-04-23 21:46:36","C","A","C","A","C","A","C","Stem Appearance; Plant Branching Habit; General Appearance",NA,"1587667588188.jpg","1587667593528.jpg",32.63205,0.7162,1100.8,4.2,"88cb2f9f-2752-4a02-a1fc-4ac762a41eb9",357828101997644,"2019-09-04 12:04:54","2019-09-04 14:38:58","B","A","B","A","B","A","Option B","Pest Resistance; Plant Vigor; Disease Resistance",NA,32.63194,0.7162117,1112.3,3,"113a3c77-592b-4e83-9793-bcba35809f34","355438910076150","2019-06-27 14:11:16","2019-06-27 14:39:19","2019-05-08","Average","Good","Loam","C","B","Early and uniform germination","Delayed germination","C","B","Plants with big stems and broad leaves","Stunted plants","C","A","Vigorous plants","Nonuniform and weak plants",2,2,2,"Above Five Years",32.63209,0.7160767,1062.4,5,"abb90290-852f-4391-9dcf-809389c99874","663e2f8ebb4882c3","2020-06-10 11:38:57",78,"C","B","C","B","C","B","C","B","C","B","C","B","A","B","C","B",1,"Better","Worst","Better","2020-06-10 11:45:43",32.63199,0.7161788,1099.89,4.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"de192f2d-2948-44e2-8387-ebdafa29abd6","663e2f8ebb4882c3","2020-06-10 15:16:20",78,"C","B","C","B","C","A","C","A","C","A","C","A","C","A","C","A",1,"Better","Worst","Better","C","A","2020-06-10 15:25:35"
79,"UG130016 ","MM16/1627  ","MM16/0707","NaCRRI02","Nextgen IITA clones","Robert Kawuki","UG","8041e16b-9fd3-4724-bdef-5fb26e952e18",359027091121525,"2019-05-08 16:04:27","2019-05-09 07:39:15","Luweero","Bugaba",79,"Female",38,"Joint",NA,32.63978,0.7139583,1107.6,4.2,"5ae9038a-8bd7-4de8-a484-9fdd1d40b7c5",357828101997644,"2020-02-08 10:15:22","2020-02-10 11:29:27","B","A","B","A","B","A","B","A","General Appearance; Plant Height; Suitability To Soils",NA,32.63979,0.713805,1145.8,3.2,"84cab7e3-8274-4b07-a48d-659700ed4f9a",357828101997644,"2019-11-18 14:17:40","2020-04-23 15:56:37","B","A","B","A","B","A","B","Stem Appearance; Plant Branching Habit; General Appearance",NA,"1587646589708.jpg","1587646594313.jpg",32.56413,0.6471283,1204.8,4.7,"9169d929-8540-46ea-bf81-47ddeb874afb",357828101997644,"2019-09-04 22:13:22","2019-09-04 22:17:13","B","C","B","C","B","A","Option B","Pest Resistance; Disease Resistance; Plant Vigor",NA,32.56403,0.6470683,1167.4,4.9,"172347e4-f841-4082-9193-3591b5b20585","359667094717025","2019-06-27 14:25:49","2019-06-27 14:38:24","2019-05-08","Flat","Regular","Sandy Loam","C","A","Most stems sprouted","Few sprouted","C","A","Height above ground","Stunted","C","A","Vigorous","Weak",2,2,2,"Above Five Years",32.63974,0.7137567,1117.2,5,"74f941f1-f266-4308-8934-60ddcf06930d","663e2f8ebb4882c3","2020-06-10 13:46:15",79,"C","B","A","B","C","B","C","B","A","B","A","B","C","B","C","B",1,"Worst","Worst","Better","2020-06-10 13:52:48",32.63972,0.7137607,1121.128,3.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51b5495b-6f76-4243-8536-86ae187ae97d","663e2f8ebb4882c3","2020-06-10 16:34:02",79,"A","B","C","B","C","A","A","C","C","B","C","B","A","C","B","C",2,"Better","Better","Worst","A","B","2020-06-10 16:41:39"
80,"NAROCASS 1","UG120180","UG120124","NaCRRI02","Nextgen IITA clones","Robert Kawuki","UG","ae9a9dad-400e-4791-b580-a227336f10d7",359027091121525,"2019-05-08 17:31:56","2019-05-09 07:38:40","Luweero","Bugabo",80,"Female",53,"Joint",NA,32.63981,0.7187433,1113.1,4.8,"c4617f5d-6551-4727-923d-2d584a91cb21",357828101997644,"2020-02-08 10:03:17","2020-02-10 11:30:09","A","B","C","B","C","B","C","B","General Appearance; Plant Height; Suitability To Soils",NA,32.63981,0.718575,1105.1,2.7,"30eaac71-b161-4ff7-8098-b1524f0a1000",357828101997644,"2019-11-18 14:04:13","2020-04-23 15:55:53","A","B","A","B","A","B","A","Stem Appearance; General Appearance; Plant Branching Habit",NA,"1587646543808.jpg","1587646550387.jpg",32.63984,0.718605,1102.2,4.8,"14f784c3-90c6-4817-9a16-56ea345108b9",357828101997644,"2019-09-04 22:06:03","2019-09-04 22:07:51","A","B","A","B","A","B","Option A","Pest Resistance; Disease Resistance; Plant Vigor",NA,32.56423,0.64708,1167.5,4.5,"df15ee6e-3ecc-4827-b1d4-509ca87c6411","355438910076150","2019-06-27 14:57:10","2019-06-27 15:01:26","2019-05-08","Average","Good","Loam","A","B","Highest proportion of plants germinated","Delayed germination","A","B","Strong plants with big stems","Stunted plants","A","B","Fast growing plants","Stunted plants",1,1,2,"Above Five Years",32.64002,0.7184983,1088.7,4.8,"02c380b6-6b29-40e1-8352-da8efcd0a08b","663e2f8ebb4882c3","2020-06-10 10:40:07",80,"A","B","C","B","A","B","A","B","A","B","B","A","A","B","A","B",1,"Better","Worst","Worst","2020-06-10 10:49:22",32.63987,0.7185858,1100.948,4.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5ca65e2b-ba76-4cc5-9164-74a77676a5bd","663e2f8ebb4882c3","2020-06-10 14:29:13",80,"C","B","C","B","C","B","C","B","C","B","C","B","C","B","A","B",2,"Better","Worst","Better","A","B","2020-06-10 14:34:45"
81,"UG120193","UG130016 ","NAROCASS 1","NaCRRI02","Nextgen IITA clones","Robert Kawuki","UG","5cafb96d-6402-4890-8e0f-67da9567d570",359027091121525,"2019-04-30 11:45:04","2019-04-30 18:46:09","Arua","Obaiva",81,"Male",32,"Male",NA,30.93418,2.815143,1112,4.4,"8b730b80-cdf0-4d4e-82cf-2dc54cd50620",357828104145142,"2020-02-28 12:33:13","2020-03-05 21:24:55","C","B","C","B","C","B","C","B","General Appearance; Plant Height; Suitability To Soils",NA,30.93423,2.815242,1127.4,2.6,"b4e20da2-65f7-4bc7-ac66-258dec32fbcf",357828104145142,"2019-11-05 17:21:11","2020-02-29 04:41:09","C","A","B","A","C","B","C","Stem Appearance; General Appearance","Pest and disease free","1582940456984.jpg","1582940466819.jpg",30.93417,2.81523,1129.1,3.4,"e70251f8-d7f4-4f95-b603-49ed0fbb4d2f",357828104145142,"2019-08-29 09:43:39","2019-08-29 14:39:13","C","B","B","C","B","A","Option B","Plant Vigor; Disease Resistance",NA,30.93393,2.815068,1148.6,5,"fa201882-321e-4c33-badb-be52694a48b9","359667094717025","2019-06-20 13:35:26","2019-06-23 10:46:09","2019-04-28","High","Regular","Loam","B","A","Initial vigor","Poor vigor","C","A","Height above ground","Short","C","A","Initial vigor","Stunted",1,1,1,"Four To Five Years",30.93414,2.815228,1117.9,4,"bdab693d-416c-41c0-997f-0edbf764ef27","357828104145142","2020-06-19 11:16:08",81,"C","B","B","A","B","A","C","A","A","B","A","B","B","A","B","A",2,"Worst","Better","Better","2020-07-23 13:03:23",30.93443,2.815205,1110.5,3.8,"f2361f00-b152-4b52-8d68-933ec2ec6214","357828104145142","2020-06-23 11:09:15",81,"A","B","B","C","C","B","A","B","C","B","A","B","A","B","A","B",3,"Better","Better","Better","A","B","2020-07-23 13:36:03","d048ea59-d1a1-415d-b4cc-8c0e092ebd3a","357828104145142","2020-06-19 11:36:32",81,"B","A","C","A","C","B","C","B","A","B","A","B","A","B","A","B",1,"Worst","Worst","Worst","C","B","2020-07-23 13:25:17"
82,"UG130007","MM06/123","MM16/1627  ","NaCRRI02","Nextgen IITA clones","Robert Kawuki","UG","2c1b319a-c5cd-46e2-8043-848cac9081b2",359027091121525,"2019-04-30 12:37:52","2019-04-30 18:41:41","Arua","Anguru",82,"Male",54,"Male",NA,30.93971,2.814148,1181.1,4.2,"bf493735-3230-4851-8150-1dd15074d531",357828104145142,"2020-02-28 12:52:20","2020-03-05 21:24:38","A","B","A","B","A","B","A","B","General Appearance; Plant Height; Suitability To Soils",NA,30.93963,2.814128,1154,3.8,"0fc8f32e-09d5-46e1-9fed-d3e2f523636a",357828104145142,"2019-11-05 17:40:10","2020-02-29 03:36:02","C","B","C","B","C","B","C","Plant Branching Habit; Stem Appearance; General Appearance","Healthy growth","1582936547432.jpg","1582936559367.jpg",30.93974,2.814152,1189.9,4.3,"6be17190-7d01-4f73-997e-79a6853a6ffa",357828104145142,"2019-08-29 10:05:17","2019-08-29 14:39:08","C","A","C","A","C","B","Option C","Disease Resistance; Pest Resistance",NA,30.93917,2.813903,1169.6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"UG120156","MM16/0707","UG120198","NaCRRI02","Nextgen IITA clones","Robert Kawuki","UG","aeca28c6-cdab-4c20-a9a1-581eb3cb39c0",359027091121525,"2019-04-30 13:31:47","2019-04-30 18:41:20","Arua","Obaiva",83,"Female",23,"Male",NA,30.93194,2.82158,1151.4,4.9,"5a3c2a34-21e5-46b4-81f0-a311094225f8",357828104145142,"2020-02-28 12:03:49","2020-03-05 21:25:16","A","B","B","C","A","B","A","C","General Appearance; Suitability To Soils",NA,30.9319,2.821547,1144.1,2.5,"7a97754f-42c1-40fb-8614-ba360f8daa6f",357828104145142,"2019-11-05 16:56:43","2020-02-29 04:39:25","A","B","A","B","A","B","A","Stem Appearance; Plant Branching Habit; General Appearance",NA,"1582940352729.jpg","1582940362647.jpg",30.93197,2.821518,1154.5,3.9,"4fbd6616-e0f8-4864-8b71-3c96a285144f",357828104145142,"2019-08-29 09:13:22","2019-08-29 14:39:21","B","A","A","B","A","B","Option A","Plant Vigor; Disease Resistance","It has many branches",30.93185,2.821418,1175,4.9,"f822febe-d8e2-4f55-8557-2addf2196960","359667094717025","2019-06-20 14:17:14","2019-06-23 10:46:44","2019-04-28","Average","Regular","Loamy","A","B","All plants germinated","Few plants germinated","A","B","Height above ground","Short or stunted","A","C","Initial vigor and germination","Poor vigor",1,2,1,"Four To Five Years",30.93181,2.821608,1126.2,5,"8f7a549d-116c-4204-bf77-49a123d05237","357828104145142","2020-06-19 10:05:42",83,"C","B","C","A","C","A","C","B","A","B","A","B","C","A","C","B",2,"Better","Better","Better","2020-07-23 13:03:48",30.93209,2.82155,1098,4.7,"411a677b-06c2-478a-a22c-fbd308089d74","357828104145142","2020-06-23 10:44:48",83,"A","B","C","B","A","B","B","C","A","B","C","B","A","B","A","B",1,"Better","Worst","Better","C","B","2020-07-23 13:35:23","19a1b8f4-bd66-4e7f-bf7e-d6c49d792d66","357828104145142","2020-06-19 13:08:54",83,"C","B","C","A","A","B","C","B","A","B","A","B","A","B","A","B",1,"Better","Worst","Better","C","B","2020-07-23 13:25:48"
