"","trait_code","trait_label","description","cycle","time"
"57","tricot2021_2022fieldharvestdataat12map_qst_freshrootyield","","","cycle_2","12_MAP"
"58","tricot2021_2022fieldharvestdataat12map_qst_ovperfrootharvest","","","cycle_2","12_MAP"
"59","tricot2021_2022fieldharvestdataat12map_qst_performharvest","","","cycle_2","12_MAP"
"60","tricot2021_2022fieldharvestdataat12map_qst_qualitystems","","","cycle_2","12_MAP"
"61","tricot2021_2022flour.basedmealdataat12map_qst_colorflourbasedmeal","","","cycle_2","12_MAP"
"62","tricot2021_2022flour.basedmealdataat12map_qst_compflourused","","","cycle_2","12_MAP"
"63","tricot2021_2022flour.basedmealdataat12map_qst_dryingtimechips","","","cycle_2","12_MAP"
"64","tricot2021_2022flour.basedmealdataat12map_qst_easemingleflour","","","cycle_2","12_MAP"
"65","tricot2021_2022flour.basedmealdataat12map_qst_performflourmeal","","","cycle_2","12_MAP"
"66","tricot2021_2022flour.basedmealdataat12map_qst_performplantflourmeal","","","cycle_2","12_MAP"
"67","tricot2021_2022flour.basedmealdataat12map_qst_sticknesspaste","","","cycle_2","12_MAP"
"68","tricot2021_2022flour.basedmealdataat12map_qst_tastecassavapaste","","","cycle_2","12_MAP"
"69","tricot2021_2022flour.basedmealdataat12map_qst_texturecassavapaste","","","cycle_2","12_MAP"
"70","tricot2021mid.altitudedata.6map_aboutdiseaseres","","","cycle_2","6_MAP"
"71","tricot2021mid.altitudedata.6map_aboutpestresis","","","cycle_2","6_MAP"
"72","tricot2021mid.altitudedata.6map_branchhabit","","","cycle_2","6_MAP"
"73","tricot2021mid.altitudedata.6map_generalappearanc","","","cycle_2","6_MAP"
"74","tricot2021mid.altitudedata.6map_stemquality","","","cycle_2","6_MAP"
"75","tricot2021mid.altitudedatacollection.d3map_aboutdiseaseres","","","cycle_2","3_MAP"
"76","tricot2021mid.altitudedatacollection.d3map_aboutpestresis","","","cycle_2","3_MAP"
"77","tricot2021mid.altitudedatacollection.d3map_aboutvigor","","","cycle_2","3_MAP"
"78","tricot2021mid.altitudedatacollection.d3map_germination","","","cycle_2","3_MAP"
